empresa;nome;endereco;bairro;cidade;estado;cep
petz;Petz Butantã;Av. Professor Francisco Morato;Butantã;São Paulo;SP;05512-200
petz;Petz Cambuí;Av. Doutor Moraes Sales;Nova Campinas;Campinas;SP;13100-201
petz;Petz Campinas Norte Sul;Av Jose de Sousa Campos;Nova Campinas;Campinas;SP;13092-123
petz;Petz Campo Grande;Av. Afonso Pena;Chacara Cachoeira;Campo Grande;MS;79040-010
petz;Petz Campo Grande Rio;Estrada da Cachamorra;Campo Grande;Rio de Janeiro;RJ;23040-125
petz;Petz Canoas;Avenida Getúlio Vargas;Marechal Rondon;Canoas;RS;92020-020
petz;Petz Caraguatatuba;Rua Vereador Antônio Cruz Arouca;Indaiá;Caraguatatuba;SP;11665-100
petz;Petz Carapicuíba;Avenida Inocêncio Seráfico;Vila Silva Ribeiro;Carapicuíba;SP;06380-021
petz;Petz Carlos Berta;R. Antônio Carlos Berta;Jardim Europa;Porto Alegre;RS;91340-020
petz;Petz Carlos Luz;Avenida Presidente Carlos Luz;Caiçaras;Belo Horizonte;MG;31230-010
petz;Petz Carrefour Anchieta;Av .Marginal Direita Anchieta;Jardim Maria Estela;São Paulo;SP;04246-900
petz;Petz Carrefour Imigrantes;R. Ribeiro Lacerda Estacionamento G Carrefour;Bosque da Saúde;São Paulo;SP;04147-020
petz;Petz Carrefour Manilha;R. Oliveira Botelho Dentro do Carrefour Manilha;Neves;São Gonçalo;RJ;24425-005
petz;Petz Carrefour Ribeirão Shopping;Av Coronel Fernando Ferreira Leite Ribeirao Shopping;Jardim Califórnia;Ribeirão Preto;SP;14026-020
petz;Petz Carrefour São Caetano;Avenida do Estado junto ao Carrefour;Fundação;São Caetano do Sul;SP;09550-400
petz;Petz Carrefour Tietê;Av. Morvan Dias de Figueiredo;Vila Guilherme;São Paulo;SP;02063-902
petz;Petz Cascavel;Avenida Brasil;Centro;Cascavel;PR;85812-000
petz;Petz Castelo;Av. Pres. Tancredo Neves;Paquetá;Belo Horizonte;MG;30840-535
petz;Petz Catuai Londrina;Rod. Mabio Gonçalves Palhano em frente ao Catuaí Shopping;Gleba Fazenda Palhano;Londrina;PR;86055-585
petz;Petz Cavalhada;Av. Eduardo Prado;Cavalhada;Porto Alegre;RS;91751-000
petz;Petz Caxias do Sul;Av Rubens Bento Alves;Cinquentenário;Caxias do Sul;RS;95012-393
petz;Petz Ceilândia;St. M Norte Q;Taguatinga;Brasília;DF;72145-100
