empresa;franquia;nome;endereco;bairro;cidade;estado;cep;telefone;horario_funcionamento;produtos_para;servicos_disponiveis
petz;1;Petz Djalma Batista;Av. Djalma Batista, 3000;Chapada;Manaus;AM;69050-010;(092) 3024-6531;Todos os dias - das 08:00 às 00:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Dom Pedro;Av. Guilherme Campos, 500 - Shopping Parque Dom Pedro;Centro (Pq Dom Pedro Shopping);Campinas;SP;13087-901;(019) 3341-7389;Segunda a sábado - das 09:00 às 22:00Domingo e Feriado - das 12:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Dourados;Av. Marcelino Pires, 4226;Jardim Caramuru;Dourados;MS;79830-000;(67) 3222-6097;Todos os dias - das 08:00 às 21:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;
petz;1;Petz Edgar Facó;Av. Gen. Edgar Facó, 848;Vila Arcadia;São Paulo;SP;02924-400;(011) 2181-7343;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Enseada;Av. Dom Pedro I, S/N - LOTE 1 E 2;ENSEADA;Guarujá;SP;11440-110;(013) 3202-7401;Todos os dias - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Estação Goiânia;Avenida Goiás, 2151 - QD 21, Lote. Area Compl. Qd 2.;Setor Central;Goiânia;GO;74010-010;(62) 2764-7386;Segunda a sábado - das 09:00 às 22:00Domingo e Feriado - das 09:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Fernando Corrêa;Avenida Fernando Corrêa da Costa, 1682;Pico do Amor;Cuiabá;MT;78065-000;(065) 3025-8889;Segunda a sábado - das 08:00 às 22:00Domingo e Feriado - das 08:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Ferraz de Vasconcelos;Avenida Brasil, 2015;Vila Romanopolis;Ferraz de Vasconcelos;SP;08529-310;(11) 2181-7451;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Florianópolis;Rodovia José Carlos Daux, 5500 - Square SC Corporate;Saco Grande;Florianópolis;SC;88032-005;(048) 3181-0700;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Foz do Iguaçu;Av. Paraná, 1314;Região Central;Foz do Iguaçu;PR;85863-754;(045) 3026-3800;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Unidade Veterinária, Farmácia
petz;1;Petz Franca;Av. Dr. Ismael Alonso Y Alonso, 450;Jardim Veneza;Franca;SP;14400-190;(016) 3602-8192;Segunda a sábado - das 08:00 às 22:00Domingo - das 09:00 às 21:00Feriado - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Gama Leste;SIND QI 1 - Pte. Alta Norte, S/N;Gama;Brasília;DF;72445-010;(061) 3221-7385;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia, Petz Play
petz;1;Petz Gastão Vidigal;Av. Dr. Gastão Vidigal, 1555;Vila Leopoldina;São Paulo;SP;05314-000;(011) 2181-7344;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Gilberto Salomão;BL. F, Shis Qi 5 Conjunto 16, 5;Lago Sul;Brasília;DF;71615-560;(61) 3221-7389;Todos os dias - das 09:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Giovanni Gronchi;Av. Giovanni Gronchi, 3280;Vila Sonia;São Paulo;SP;05651-002;(011) 2181-7389;Todos os dias - das 08:00 às 00:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia, Petz Play
petz;1;Petz Giovanni Pirelli;Rua Giovanni Battista Pirelli, 1645;Vila Homero Thon;Santo André;SP;09111-340;(011) 2181-7455;Todos os dias - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Governador Valadares;Av. Brasil, 3611;Centro;Governador Valadares;MG;35010-070;(033) 3021-7980;Todos os dias - das 08:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Gravataí;Av. Dorival Candido Luz de Oliveira, 900 - Cohab C;Centro;Gravataí;RS;94030-000;(051) 3052-0479;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Guarujá;Av. Adhemar de Barros, 1935;Jardim Helena Maria;Guarujá;SP;11430-003;(13) 3202-7400;Todos os dias - das 08:00 às 22:00;Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Guarulhos;Av. Guarulhos, 2598;Ponte Grande;Guarulhos;SP;07022-020;(011) 2181-7415;Todos os dias - das 08:00 às 22:00;Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Guarulhos Pimentas;Estr. Juscelino Kubtischek de Oliv., 4380;Jardim Albertina;Guarulhos;SP;07252-000;(011) 2181-7324;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Hiper Sales Aracaju;Av. Augusto Franco, 2500;Ponto Novo;Aracaju;SE;49097-670;(79) 3021-9545;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;
petz;1;Petz Hortolândia;Av. Santana, 970;Parque Ortolândia;Hortolândia;SP;13184-210;(019) 3341-7386;Segunda a sábado - das 08:00 às 22:00Domingo - das 09:00 às 21:00Feriado - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Iguatemi Esplanada;Av. Gisele Constantino, 1850 - Shopping Iguatemi Esplanada;Parque Bela Vista;Votorantim;SP;18110-650;(015) 3247-5535 / (15) 3331-8400;Segunda a sábado - das 10:00 às 22:00Domingo e Feriado - das 12:00 às 20:00;Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Ilha do Governador;Estrada do Galeão, 1770;Jardim Carioca;Rio de Janeiro;RJ;21931-524;(021) 3161-7392;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Indaiatuba;Alameda Filtros Mann, 670 - Polo Shopping Indaiatuba;Jardim Tropical;Indaiatuba;SP;13344-580;(019) 3341-7389;Segunda a sábado - das 08:00 às 22:00Domingo e Feriado - das 12:00 às 20:00;Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Independência Shopping;Av. Presidente Itamar Franco, 3600;Cascatinha;Juiz de Fora;MG;36025-290;(032) 3321-8582;Segunda a sábado - das 10:00 às 22:00Domingo e Feriado - das 13:00 às 21:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Ipatinga;Av Claudio Moura, 801;Novo Cruzeiro;Ipatinga;MG;35164-840;(31) 2103-3634;Segunda a sexta - das 08:00 às 19:00Sábado - das 08:00 às 13:00Domingo e Feriado - loja fechada;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;
petz;1;Petz Ipiranga;Av. Presidente Tancredo Neves, 600;Ipiranga;São Paulo;SP;04287-010;(011) 2181-7315;Todos os dias - das 08:00 às 21:00;Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Itaim;R. Bandeira Paulista, 982;Itaim Bibi;São Paulo;SP;04532-003;(011) 2181-7375;Todos os dias - das 08:00 às 00:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Itajaí;Av. Ver. Abrahão João Francisco, 3400;Ressacada;Itajaí;SC;88307-302;(47) 3311-7758;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Itanhaém;Av. Rui Barbosa, 540;Centro;Itanhaém;SP;11740-000;(013) 3421-9890;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Itapecerica;Estr. de Itapecerica, 944;Vila das Belezas;São Paulo;SP;05835-003;(011) 2181-7416;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Itapetininga;Av. Peixoto Gomide, 317;Centro;Itapetininga;SP;18200-160;(015) 3275-9700;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Itatiba;Avenida Marechal Castelo Branco, 55;Jardim de Lucca;Itatiba;SP;13255-350;(011) 4487-6550;Segunda a sábado - das 08:00 às 22:00Domingo - das 09:00 às 21:00Feriado - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Itu;Av. Dr. Otaviano Pereira Mendes, 1254;Liberdade;Itu;SP;13301-000;(11) 2181-7314;Todos os dias - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Jaboatão dos Guararapes;Av. Ayrton Senna da Silva, 1485;Piedade;Jaboatão dos Guararapes;PE;54420-700;(081) 3033-7590;Segunda a domingo - das 08:00 às 22:00Feriado - das 08:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Jacu Pêssego;Av Jacu Pêssego , 4710;Itaquera;São Paulo;SP;08215-115;(011) 2181-7450;Todos os dias - das 09:00 às 23:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Jaguaré;Avenida Corifeu de Azevedo Marques, 4529 - lado impar da Corifeu;Vila Lageado;São Paulo;SP;05339-003;(011) 2181-7350;Todos os dias - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Jardim Botânico;R. Jardim Botânico, 733;Lagoa;Rio de Janeiro;RJ;22470-051;(021) 3161-7394;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Jardim Icaraí;R. Dr. Paulo César, 249;Santa Rosa;Niterói;RJ;24240-000;(021) 3161-7393;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Jaú;Avenida Doutor Quinzinho , 51;Chácara Peccioli;Jaú;SP;17210-110;(014) 3225-1704;Segunda a sábado - das 08:00 às 22:00Domingo e Feriado - das 08:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
