empresa;franquia;nome;telefone;endereco;bairro;cidade;estado;cep
petland;1;Petland Botucatu;(14) 99674-0982;Av. Dr. Vital Brasil, 891;Vila Sao Lucio;Botucatu;SP;
petland;1;Petland Bom Retiro;(31) 99996-8379;Rua Nossa Senhora das graças, 673;;Betim;MG;
petland;1;Petland Benjamin Constant;(51) 3103-8259;Av. Benjamin Constant, 1695;;Porto Alegre;RS;
petland;1;Petland 13 de Julho;(79) 99921-9001;Av. Prof. Acrisio Cruz, 451;;A Aracaju;SE;
petland;1;Petland Batatais;(16) 99968-5952;Rua Prudente de Moraes, 209;;Batatais;SP;
petland;1;Petland Barra Muriaé;(32) 9 8703 2485;Avenida Doutor Passos 239;;Muriaé;MG;
petland;1;Petland Avenida Brasil;(19) 99402-1876;Av. Brasil, 119;Vila Itapura;Campinas;SP;
petland;1;Petland Araguaína;(63) 99216-1886;Rua 25 de Dezembro, 4751;;Centro Araguaína;TO;
petland;1;Petland Anália Franco;(11) 99277-3119;Rua Professor João de Oliveira Torres, 399;;São Paulo;SP;
petland;1;Petland Aclimação;(11) 3207-8233;Avenida da Aclimação, 226;;São Paulo;SP;
petland;1;Petland 5 de novembro;(15) 99742-1080;Avenida 5 de Novembro, 812;;Itapetininga;SP;
petland;1;Petland Vila Mariana;(11) 5083-9801;Av. Conselheiro Rodrigues Alves, 635;;São Paulo;SP;
petland;1;Petland Vila Clementino;(11) 3774-3552;Rua Luís Góis, 1395;;São Paulo;SP;
petland;1;Petland Turu;(98) 98485-6201;Av. São Luís Rei de França;;SN São Luís;MA;
petland;1;Petland Tatuapé;(11) 98988-7272;Rua Azevedo Soares, 2.578;;São Paulo;SP;
petland;1;Petland Sinop;(66) 99688-0999;Av. das Itaúbas, 3312;St. Comercial;Sinop;MT;
petland;1;Petland Rudge Ramos;(11) 9 3355 8985;Av. Caminho do Mar, 2227;Rudge Ramos;São Bernardo do Campo;SP;
petland;1;Petland Rio Madeira;(69) 99224-5797;Av. Rio Madeira, 2737;;Porto Velho;RO;
petland;1;Petland Renascença;(98) 3042-1095;Av. Jornalista Mercio Jorge, 15 ,  Edif. Agenor Cosseti, Loja 05;;São Luís;MA;
petland;1;Petland Canal 6;(13) 99754-5114;Av. Dr. Epitácio Pessoa, 649;Ponta da Praia;Santos;SP;
petland;1;Petland Pompéia;(13) 3385-4337;R. Euclydes da Cunha, 279;;Santos;SP;
petland;1;Petland Pedreira;(19) 99732-6575;Av. Presidente Costa e Silva, 29;;Pedreira;SP;
petland;1;Petland Passos;(35) 99994-7852;Praça Geraldo da Silva Maia, 148;;Passos;MG;
petland;1;Petland Parque Pinheiros;(11) 91717-0757;Dr. Mario Augusto Pereira 88;;Taboão da Serra;SP;
petland;1;Petland Oficinas;(42) 99117-7388;Avenida Visconde de Mauá 1747;;Ponta Grossa;PR;
petland;1;Petland Mooca;(11) 2693-6633;Av. Paes de Barros, 342;;São Paulo;SP;03114-000
petland;1;Petland Moema Pássaros;(11) 5543-5549;Av. Pavão, 602;;São Paulo;SP;
petland;1;Petland Moema Índios;(11) 5055-0813;Alameda dos Nhambiquaras, 817;;São Paulo;SP;
petland;1;Petland Marapé;(13) 97822-5133;Rua Godofredo Fraga, 4;;Santos;SP;
petland;1;Petland Praia Grande Mallet;(13) 3591-2542;Av. Marechal Mallet, 688;;Praia Grande;SP;
petland;1;Petland Mackenzie Mall;(11) 2158-6476;Av. Tucunaré, 1498 ,  Bloco 2 Loja 10;;Barueri;SP;
petland;1;Petland Jóquei Clube;(86) 3085-2602;Av. Jóquei Clube 1585;;Teresina;PI;
petland;1;Petland João Fiúsa;(16) 3289-7464;Avenida Professor João Fiusa, 1433;;Ribeirão Preto;SP;
petland;1;Petland Jardins;(11) 97135-1920;Rua Bela Cintra, 1559;;São Paulo;SP;
petland;1;Petland Jaguaríuna;(19) 99687-0204;Avenida Antonio Pinto Catão, 140;;Jaguariúna;SP;
petland;1;Petland Itararé;(13) 3356-1318;Avenida Presidente Wilson, 466;;São Vicente;SP;
petland;1;Petland Homero;(86) 98161-2602;Avenida Homero Castelo Branco, 2775;;Teresina;PI;
petland;1;Petland Guilhermina;(13) 3474-2219;Av. Presidente Kennedy, 1717;Praia Grande;São Paulo;SP;
petland;1;Petland Graça;(71) 98162-6712;R. da Graça, 406 ,  loja 03;Graça;Salvador;BA;
petland;1;Petland Embaré;(13) 3227-4206;Avenida Doutor Epitácio Pessoa, 229;;Santos;SP;
petland;1;Petland Canal 2;(13) 3385-9519;Av. Dr. Bernardino de Campos, 243;;Santos;SP;
petland;1;Petland Canal 1;(13) 3326-3650;Avenida Senador Pinheiro Machado, 309;;Santos;SP;
petland;1;Petland Campolim;(15) 99612-6700;Avenida Antônio Carlos Cômitre, 1230;;Sorocaba;SP;
petland;1;Petland Boqueirão;(13) 3235-4637;Rua Bento de Abreu, 4;;Santos;SP;
petland;1;Petland Batel;(41) 3014-0009;Rua Comendador Araújo, 603;;Curitiba;PR;
petland;1;Petland Aparecida;(13) 3238-8847;Rua Alexandre Martins, 103;;Santos;SP;
petland;1;Petland Alphaville;(11) 94107-7704;Avenida Yojiro Takaoka, 4700;;Santana de Parnaíba;SP;
petland;1;Petland Holandeses;(98) 3181-2712;Av. dos Holandeses, 10;;São Luís;MA;
petland;1;Petland Cohatrac;(98) 3303-5681;Rua 12, 57 ,  Quadra 18;;São José de Ribamar;MA;
petland;1;Petland Cohama;(98) 33024129;Av Daniel de La Touche 3;;A São Luís;MA;
petland;1;Petland Belvedere;(31) 9.8292-6230;Avenida Luiz Paulo Franco 383;;Belo Horizonte;MG;
