empresa,nome,endereco,bairro,cidade,estado,cep,latitude,longitude
PetCamp,Monte Mor - PetCamp Monte Mor - Loja 064,Rua Roque Presta,,Monte Mor,SP,,-22.948296243245174,-47.31333998593147
PetCamp,Nova Odessa - PetCamp Nova Odessa - Loja 011,Av. Rodolfo Kivitz,,Nova Odessa,SP,,-22.789507846390283,-47.30560270674621
PetCamp,Paulínia - PetCamp João Aranha - Loja 018,Av. Paulista,,Paulínia,SP,,-22.75337345234056,-47.167743052442155
PetCamp,Paulínia - PetCamp Paulínia - Loja 023,Av. José Paulino,,Paulínia,SP,,-22.770832286399894,-47.14633183558207
PetCamp,Pindamonhangaba  - PetCamp Pindamonhangaba - Loja 090,R. Alcides Ramos Nogueira,,Pindamonhangaba,SP,,-22.94699,-45.4778
PetCamp,Piracicaba - PetCamp Piracicaba Independência - Loja 075,Av. Independência,,Piracicaba,SP,,-22.733704513212153,-47.63848992208965
PetCamp,Piracicaba - PetCamp Piracicaba - Loja 035,Rio das Pedras,,Piracicaba,SP,,-22.757594546796494,-47.61424956626898
PetCamp,Pirassununga - PetCamp Pirassununga - Loja 033,Av. Antônio Joaquim Mendes,,Pirassununga,SP,,-22.01131386942178,-47.42508721044829
PetCamp,Ribeirão Preto - PetCamp Caramuru - Loja 046,Av. Caramuru,,Ribeirão Preto,SP,,-21.199026106933932,-47.82283399090052
PetCamp,Ribeirão Preto - PetCamp Savegnago - Loja 044,R. Silveira Martins,,Ribeirão Preto,SP,,-21.16438601497339,-47.811919891402745
PetCamp,Ribeirão Preto - PetCamp RP Nova Aliança- Loja 095,Av. José Luiz Cristófani,,Ribeirão Preto,SP,,-21.22135,-47.82784
PetCamp,Ribeirão Preto - PetCamp Leão XIII - Loja 074,Av. Leão XIII,,Ribeirão Preto,SP,,-21.196614689580283,-47.778199264417935
PetCamp,Ribeirão Preto - PetCamp Biagi - Loja 012,"Ad. Maurilio Biagi, 1450",,Ribeirão Preto,SP,,-21.205825061242557,-47.792222477910336
PetCamp,Rio Claro - PetCamp Rio Claro Av Brasil - 098,Av. Brasil,,Rio Claro,SP,,-22.3845,-47.55783
