empresa;nome;endereco;cidade;bairro;estado;cep;latitude;longitude;data_extracao
cobasi;Pet Shop Cobasi Caxias do Sul;Rodovia RSC 453;Caxias do Sul;;RS;95110-195;;;10/10/2025
cobasi;Pet Shop Cobasi Cerro Corá;Rua  Cerro Corá;São Paulo;;SP;05061-400;;;10/10/2025
cobasi;Pet Shop Cobasi Comendador Agostinho - Limeira II;Avenida Comendador Agostinho Prada;Limeira;;SP;13482-220;;;10/10/2025
cobasi;Pet Shop Cobasi Conselheiro Rodrigues Alves;Av. Conselheiro Rodrigues Alves;São Paulo;;SP;04102-000;;;10/10/2025
cobasi;Pet Shop Cobasi Continente Shopping;Rodovia BR 101 - KM211 Continente Park Shopping;São José;;SC;88104-800;;;10/10/2025
cobasi;Pet Shop Cobasi Copacabana Posto 2;Avenida Nossa Senhora de Copacabana;Rio de Janeiro;;RJ;22020-002;;;10/10/2025
cobasi;Pet Shop Cobasi Corifeu;Avenida Corifeu de Azevedo Marques;São Paulo;;SP;05582-000;;;10/10/2025
cobasi;Pet Shop Cobasi Cotia;Rua Luiz Silva;Cotia;;SP;06716-030;;;10/10/2025
cobasi;Pet Shop Cobasi Criciúma;Av Jorge Elias de Lucca;Criciúma;;SC;88813-390;;;10/10/2025
cobasi;Pet Shop Cobasi Cuiabá CPA;Avenida Historiador Rubens de Mendonça;Cuiabá;;MT;78050-000;;;10/10/2025
cobasi;Pet Shop Cobasi Curitiba Linha Verde;Av. Senador Salgado Filho;Curitiba;;PR;80215-270;;;10/10/2025
cobasi;Pet Shop Cobasi Curitiba Mario Tourinho;Rua General Mario Tourinho;Curitiba;;PR;80740-016;;;10/10/2025
cobasi;Pet Shop Cobasi Curitiba Novo Mundo;Rua Isaac Guelmann;Curitiba;;PR;81050-030;;;10/10/2025
cobasi;Pet Shop Cobasi DF Gama;Quadra 55 Lote 9;Brasília;;DF;72405-550;;;10/10/2025
cobasi;Pet Shop Cobasi DF Planaltina;Setor de Áreas Especiais Norte;Planaltina;;DF;73340-190;;;10/10/2025
cobasi;Pet Shop Cobasi DF Plaza Shopping;Rua Copaiba Lote 01;Brasília;;DF;71919-540;;;10/10/2025
cobasi;Pet Shop Cobasi Diadema;Avenida Presidente Kennedy;Diadema;;SP;09913-000;;;10/10/2025
cobasi;Pet Shop Cobasi Eco Mall Pinheirinho;Rodovia BR-116;Curitiba;;PR;81690-300;;;10/10/2025
cobasi;Pet Shop Cobasi Embu das Artes;Av. Elias Yazbek;Embu das Artes;;SP;06803-045;;;10/10/2025
cobasi;Pet Shop Cobasi Embu das Artes II;Avenida João Batista Medina;Embu das Artes;;SP;06840-050;;;10/10/2025
cobasi;Pet Shop Cobasi Engenheiro Caetano Alvares;Av. Eng. Caetano Álvares;São Paulo;;SP;;;;10/10/2025
cobasi;Pet Shop Cobasi Epitácio Pessoa;Avenida Presidente Epitácio Pessoa;João Pessoa;;PB;58042-006;;;10/10/2025
cobasi;Pet Shop Cobasi Ermano Marchetti;Rua Luiz Gatti;São Paulo;;SP;05038-150;;;10/10/2025
cobasi;Pet Shop Cobasi Estr. do Campo Limpo;Estrada do Campo Limpo;São Paulo;;SP;05787-000;;;10/10/2025
cobasi;Pet Shop Cobasi Estrada de Itapecerica;Estrada de Itapecerica;São Paulo;;SP;05835-005;;;10/10/2025
cobasi;Pet Shop Cobasi Feira de Santana;Avenida João Durval Carneiro;Feira de Santana;;BA;44090-008;;;10/10/2025
cobasi;Pet Shop Cobasi Florianópolis;Rodovia Jose Carlos Daux;Florianópolis;;SC;88032-005;;;10/10/2025
cobasi;Pet Shop Cobasi Florianópolis Centro;Rua Francisco Tolentino;Florianópolis;;SC;88010-200;;;10/10/2025
cobasi;Pet Shop Cobasi Fortaleza Aldeota;Av. Santos Dumont;Fortaleza;;CE;60150-162;;;10/10/2025
cobasi;Pet Shop Cobasi Fortaleza Meireles;Avenida Barao de Studart;Fortaleza;;CE;60120-024;;;10/10/2025
cobasi;Pet Shop Cobasi Fortaleza Open Mall;Avenida Washington Soares;Fortaleza;;CE;60810-350;;;10/10/2025
cobasi;Pet Shop Cobasi Franca;Avenida Doutor Antonio Barboza Filho;Franca;;SP;14405-000;;;10/10/2025
cobasi;Pet Shop Cobasi Frei Gaspar;Avenida Brigadeiro Faria Lima;São Bernardo do Campo;;SP;09720-010;;;10/10/2025
cobasi;Pet Shop Cobasi Goiânia Decathlon;Avenida I;Goiânia;;GO;74810-075;;;10/10/2025
cobasi;Pet Shop Cobasi Goiânia T63;Avenida T63;Goiânia;;GO;74335-104;;;10/10/2025
cobasi;Pet Shop Cobasi Granja Vianna;Av. Marginal;Cotia;;SP;06708-030;;;10/10/2025
cobasi;Pet Shop Cobasi Guarujá;Avenida Leomil;Guarujá;;SP;11410-160;;;10/10/2025
cobasi;Pet Shop Cobasi Guarulhos;Av. Anielo Pratici;Guarulhos;;SP;07013-000;;;10/10/2025
cobasi;Pet Shop Cobasi Guarulhos Centro;Avenida Salgado Filho;Guarulhos;;SP;07115-180;;;10/10/2025
cobasi;Pet Shop Cobasi Guarulhos Sakamoto;Rodovia Presidente Dutra KM 210;Guarulhos;;SP;;;;10/10/2025
cobasi;Pet Shop Cobasi Guarulhos Timóteo Penteado;Avenida Doutor Timóteo Penteado;Guarulhos;;SP;07094-000;;;10/10/2025
cobasi;Pet Shop Cobasi Higienópolis;Avenida Angélica;São Paulo;;SP;01228-000;;;10/10/2025
cobasi;Pet Shop Cobasi Iguatemi Campinas;Shopping Iguatemi Campinas - Avenida Iguatemi;Campinas;;SP;13092-500;;;10/10/2025
cobasi;Pet Shop Cobasi Iguatemi Fortaleza;Av. Washington Soares;Fortaleza;;CE;60810-060;;;10/10/2025
cobasi;Pet Shop Cobasi Imigrantes;Av. Prof Abraão de Morais;São Paulo;;SP;04123-011;;;10/10/2025
cobasi;Pet Shop Cobasi Imirim;Avenida Imirim;São Paulo;;SP;02465-300;;;10/10/2025
cobasi;Pet Shop Cobasi Indaiatuba;Avenida Presidente Vargas;Indaiatuba;;SP;13334-085;;;10/10/2025
cobasi;Pet Shop Cobasi Interlar Interlagos;Av. Interlagos;São Paulo;;SP;04661-100;;;10/10/2025
cobasi;Pet Shop Cobasi Itajaí;Avenida Osvaldo Reis;Itajai;;SC;88306-600;;;10/10/2025
cobasi;Pet Shop Cobasi Itaquaquecetuba D'avó;Avenida Italo Adami;Itaquaquecetuba;;SP;08573-000;;;10/10/2025
cobasi;Pet Shop Cobasi Itaquera;Avenida Itaquera;São Paulo;;SP;;;;10/10/2025
cobasi;Pet Shop Cobasi Jabaquara;Avenida Engenheiro George Corbisier;São Paulo;;SP;04345-001;;;10/10/2025
cobasi;Pet Shop Cobasi Jaboatão Dos Guararapes;Avenida Bernardo Vieira de Melo;Jaboatão dos Guararapes;;PE;54410-010;;;10/10/2025
cobasi;Pet Shop Cobasi Jacareí Tenda;Praça Charles Gates;Jacareí;;SP;12306-090;;;10/10/2025
cobasi;Pet Shop Cobasi Jardim Japão;Avenida Jardim Japao;São Paulo;;SP;02221-001;;;10/10/2025
cobasi;Pet Shop Cobasi Jaú;Av. Anna Claudina;Jaú;;SP;17203-381;;;10/10/2025
cobasi;Pet Shop Cobasi Jd. Botânico;CJ SMDB AREA ESPECIAL D;Brasília;;DF;;;;10/10/2025
cobasi;Pet Shop Cobasi Joinville;Avenida Rolf Wiest;Joinville;;SC;89223-005;;;10/10/2025
cobasi;Pet Shop Cobasi Juiz de Fora Jardim Norte;Av. Brasil;Juiz de Fora;;MG;36080-000;;;10/10/2025
