empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude
petland;Petland Dom Joaquim;Avenida Dom Joaquim;Centro;Pelotas;RS;96020-260;-317.450.526;-52.336.725
petland;Petland Dom Bosco;Avenida Brigadeiro Eduardo Gomes;Dom Bosco;Belo Horizonte;MG;30850-222;-199.154.186;-440.008.902
petland;Petland Cupecê;Avenida Cupecê;Jardim Prudência;São Paulo;SP;04365-000;-232.778.199.652;-46.636
petland;Petland Cidade Nova;Rua Armando Salles de Oliveira;Vila Todos os Santos;Indaiatuba;SP;13330-585;-23.079.944;-472.172.921
petland;Petland Bento Gonçalves;Rua Olavo Bilac;Cidade Alta;Bento Gonçalves;RS;95700-362;-291.719.814;-515.161.829
petland;Petland Canal 3;Avenida Washington Luís;Gonzaga;Santos;SP;11055-000;-239.673.822;-463.328.146
petland;Petland Campo Belo;Rua Conde de Porto Alegre;Campo Belo;São Paulo;SP;04608-002;-232.493.799.671;-46.636
petland;Petland Cambuí;Rua dos Bandeirantes;Cambuí;Campinas;SP;13024-010;-228.921.264;-470.546.529
petland;Petland Botucatu;Avenida Doutor Vital Brasil;Vila São Lúcio;Botucatu;SP;18603-193;-228.841.808;-484.441.654
petland;Petland Bom Retiro;Rua Olga Assunção;Novo Horizonte;Betim;MG;32606-016;-199.444.194;-44.204.051
petland;Petland Benjamin Constant;Avenida Benjamin Constant;Floresta;Porto Alegre;RS;90550-005;-300.463.200.085;-51.23
petland;Petland 13 de Julho;;;"
  Aracaju";"
  SE";invalido;-109.327.236;-370.533.083
petland;Petland Batatais;;;"
  Batatais";SP;invalido;-208.891.036;-47.584.485.799.999.900
petland;Petland Barra Muriaé;Rua Gil Moreira;Barra;Muriaé;MG;36884-112;-211.278.887;-423.824.038
petland;Petland Avenida Brasil;Avenida Brasil;Vila Itapura;Campinas;SP;13023-075;-228.990.196;-470.585.262
petland;Petland Araguaína;Rua Vinte e Cinco de Dezembro;Setor Central;Araguaína;TO;77804-030;-71.901.421;-482.082.624
petland;Petland Anália Franco;Rua Professor João de Oliveira Torres;Jardim Anália Franco;São Paulo;SP;03337-010;-233.940.999.774;-46.636
petland;Petland Aclimação;Avenida da Aclimação;Aclimação;São Paulo;SP;01531-000;-235.693.300.084;-466.592.676.017
petland;Petland 5 de novembro;Avenida 5 de Novembro;Vila Nastri;Itapetininga;SP;18207-320;-236.014.345;-480.617.431
petland;Petland Vila Mariana;Avenida Conselheiro Rodrigues Alves;Vila Mariana;São Paulo;SP;04014-011;-23.548;-463.884.013.667
petland;Petland Vila Clementino;Rua Luís Góis;Mirandópolis;São Paulo;SP;04043-350;-23.548;-463.847.688.792
petland;Petland Turu;Avenida São Luís Rei de França;Turu;São Luís;MA;65065-470;-25.607.800.101;-44.303
petland;Petland Tatuapé;Rua Azevedo Soares;Vila Gomes Cardim;São Paulo;SP;03322-002;-233.955.399.838;-46.636
petland;Petland Sinop;Avenida das Itaúbas;Setor Comercial;Sinop;MT;78550-196;-118.543.759;-555.107.714
petland;Petland Rudge Ramos;Avenida Caminho do Mar;Rudge Ramos;São Bernardo do Campo;SP;09609-000;-23.694.540.002;-46.565
petland;Petland Rio Madeira;Avenida Prefeito Chiquilito Erse;Embratel;Porto Velho;RO;76820-763;-87.493.383;-638.847.376
petland;Petland Renascença;Avenida Jornalista Miércio Jorge;Jardim Renascença;São Luís;MA;65075-675;-24.986.283;-442.879.209
petland;Petland Canal 6;Avenida Doutor Epitácio Pessoa;Boqueirão;Santos;SP;11045-301;-239.648.026;-463.235.849
petland;Petland Pompéia;Rua Euclides da Cunha;Pompéia;Santos;SP;11065-101;-239.665.048;-463.421.313
petland;Petland Pedreira;;;Pedreira;SP;13920-000;-227.418.249;-468.952.876
petland;Petland Passos;Praça Geraldo da Silva Maia;Centro;Passos;MG;37900-096;-207.222.202;-466.090.216
petland;Petland Parque Pinheiros;Rua Doutor Mário Augusto Pereira;Jardim São Paulo;Taboão da Serra;SP;06767-330;-23.602;-467.469.106.099
