empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude
PetCamp;Jundiaí - PetCamp Jd Retiro - Loja 052;Praça Raphael Avallone;Parque do Colégio;Jundiaí;SP;13209159;-23.18741760673065;-46.897217464417935
PetCamp;Leme - PetCamp Leme - Loja 061;Avenida Benedito Landgraf;Centro;Leme;SP;13610010;-22.189068621470387;-47.396417777910344
PetCamp;Limeira - PetCamp Ouro Verde - Loja 067;Rua Vicente de Felice;Jardim Ouro Verde;Limeira;SP;13482075;-22.584877248001952;-47.42203658779973
PetCamp;Limeira - PetCamp Limeira - Loja 009;Rua Euclides Xavier de Lima;Vila Anita;Limeira;SP;13484305;-22.559426704192457;-47.41369407791034
PetCamp;Lins - PetCamp Lins - Loja 088;Travessa Cabo Antônio Belmont;Vila Alta;Lins;SP;16400506;-21.67385;-49.75689
PetCamp;Matão  - PetCamp Matão  - Loja 071;Rua São Lourenço 536;Centro;Matão;SP;15990971;-21.600807160417183;-48.355527799999265
PetCamp;Mogi Guaçu - PetCamp Mogi Guaçu - Loja 010;Rua Cinéia Maria do Carmo;Parque Guainco;Mogi Guaçu;SP;13844290;-22.38994107971872;-46.945224850924724
PetCamp;Mogi Mirim - PetCamp Mogi Mirim - Loja 017;Rua da Bíblia;Santa Cruz;Mogi Mirim;SP;13800445;-22.43908982817026;-46.96436137791034
PetCamp;Mogi das Cruzes - PetCamp Mogi das Cruzes - Loja 047;Rua José Cordeiro Pereira;Vila Lavínia;Mogi das Cruzes;SP;08737060;-23.516685552836773;-46.18865963558208
PetCamp;Monte Mor - PetCamp Monte Mor - Loja 064;Viela Monte Mor;Jardim Novo Horizonte;Carapicuíba;SP;06341530;-22.948296243245174;-47.31333998593147
PetCamp;Nova Odessa - PetCamp Nova Odessa - Loja 011;Rua Hermann Janait;Jardim de Éden;Nova Odessa;SP;13382006;-22.789507846390283;-47.30560270674621
PetCamp;Paulínia - PetCamp João Aranha - Loja 018;Rua Mané Garrincha;Bela Vista;Paulínia;SP;13145022;-22.75337345234056;-47.167743052442155
PetCamp;Paulínia - PetCamp Paulínia - Loja 023;Avenida José Paulino;Jardim Fortaleza;Paulínia;SP;13140076;-22.770832286399894;-47.14633183558207
PetCamp;Pindamonhangaba  - PetCamp Pindamonhangaba - Loja 090;Rua Doutor José Augusto César Salgado;Jardim Residencial Doutor Lessa;Pindamonhangaba;SP;12422570;-22.94699;-45.4778
PetCamp;Piracicaba - PetCamp Piracicaba Independência - Loja 075;Travessa José Pereira Cardoso;Nova América;Piracicaba;SP;13417757;-22.733704513212153;-47.63848992208965
PetCamp;Piracicaba - PetCamp Piracicaba - Loja 035;Avenida Rio das Pedras;Água Branca;Piracicaba;SP;13425381;-22.757594546796494;-47.61424956626898
PetCamp;Pirassununga - PetCamp Pirassununga - Loja 033;Rua Sofia Levy;Vila Industrial;Pirassununga;SP;13631275;-22.01131386942178;-47.42508721044829
PetCamp;Ribeirão Preto - PetCamp Caramuru - Loja 046;Rua Orestes Guimarães;Alto da Boa Vista;Ribeirão Preto;SP;14025189;-21.199026106933932;-47.82283399090052
PetCamp;Ribeirão Preto - PetCamp Savegnago - Loja 044;Rua Luiz Gama;Campos Elíseos;Ribeirão Preto;SP;14080220;-21.16438601497339;-47.811919891402745
PetCamp;Ribeirão Preto - PetCamp RP Nova Aliança- Loja 095;Rua José Ferreira da Costa;Jardim Nova Aliança Sul;Ribeirão Preto;SP;14027070;-21.22135;-47.82784
PetCamp;Ribeirão Preto - PetCamp Leão XIII - Loja 074;Rua Alfredo Benzoni;Iguatemi;Ribeirão Preto;SP;14091520;-21.196614689580283;-47.778199264417935
PetCamp;Ribeirão Preto - PetCamp Biagi - Loja 012;Rua Aquidaban;Santa Cruz do José Jacques;Ribeirão Preto;SP;14020689;-21.205825061242557;-47.792222477910336
PetCamp;Rio Claro - PetCamp Rio Claro Av Brasil - 098;Avenida 50;Alto do Santana;Rio Claro;SP;13504182;-22.3845;-47.55783
PetCamp;Rio Claro - PetCamp Rio Claro II - Loja 087;Avenida Marginal 1 NR;Jardim Nova Rio Claro;Rio Claro;SP;13502390;-22.40065;-47.58521
PetCamp;Rio Claro - PetCamp Rio Claro 29 - Loja 112;Av. 29;;Rio Claro;SP;;;
PetCamp;Rio Claro - PetCamp Rio Claro - Loja 038;Avenida 2;Condomínio Club Home;Rio Claro;SP;13503077;-22.4108551888413;-47.567665550925526
PetCamp;Santa Barbara d'Oeste -  PetCamp Santa Barbara d'Oeste - 099;Avenida Alfredo Contatto;Jardim Dona Regina;Santa Bárbara D'Oeste;SP;13455726;-22.73865;-47.36502
PetCamp;Sorocaba - PetCamp Ipanema - Loja 014;Rua Hilda Cardoso da Silva;Jardim das Flores;Sorocaba;SP;18071774;-23.463137969708722;-47.497211804895166
PetCamp;Sorocaba - PetCamp Sorocaba Atanázio - Loja 105;Rua Diógenes Cardoso Filho;Jardim São Guilherme;Sorocaba;SP;18074643;-23.453120099112393;-47.48410022208966
PetCamp;Sorocaba - PetCamp Campolim - Loja 045;Rua Heloísa Oliveira Evangelista;Parque Campolim;Sorocaba;SP;18048123;-23.53370398176573;-47.475109122089656
PetCamp;Sorocaba - PetCamp Sorocaba Independência - Loja 070;Rua Euclides da Cunha;Vila Independência;Sorocaba;SP;18040330;-23.506186765167;-47.47167476441792
PetCamp;Sumaré -  PetCamp Sumaré Real Park - Loja 085;Rua Guengo Kobayashi;Residencial Real Parque Sumaré;Sumaré;SP;13178553;-22.82577;-47.21425
PetCamp;Sumaré - PetCamp Sumaré Maria Luiza- Loja 103;Rua Jose Elpidio de Oliveira;Jardim Cidade Nova (Nova Veneza);Sumaré;SP;13178312;-22.80100306811321;-47.19349534051822
PetCamp;Sumaré - PetCamp Sumaré - Loja 013;Avenida Rebouças;Centro;Sumaré;SP;13170023;-22.822607500223555;-47.272151450925534
PetCamp;Sumaré - PetCamp Santa Rosa - Loja 015;Rua Austrália;Jardim Golden Park Residence;Hortolândia;SP;13189116;-22.847152888893348;-47.211527206746204
PetCamp;São Carlos - PetCamp São Carlos - Loja 040;Alameda A;Condomínio Residencial Village São Carlos ll;São Carlos;SP;13565400;-21.967649026391886;-47.891240564417934
PetCamp;São José do Rio Preto - PetCamp Presidente - Loja 053;Avenida Presidente Juscelino Kubitschek de Oliveira;Jardim Moysés Miguel Haddad;São José do Rio Preto;SP;15093215;-20.852033690648327;-49.4130941625669
